入ったとき,"薫「吸い込まれるの、なんだか気持ちいいですね」\nナギ「感性が謎だな…」"
箱を見たとき①（最初）,"ナギ「前もこんな箱あったな」"
箱を見たとき②（数値が解けた時）,"薫「お札…？」"
賽銭箱を見たとき①（初めて）,"ナギ「ふむ。どのくらい米が入っているかな」\n薫「お米はいれませんよ？今はお金を入れます」\nナギ「なるほど…いろいろ変わってしまったな」"
賽銭箱を解いたとき②（とき終わったとき）,"薫「あれ、お金じゃなくてお米が出てきました」\nナギ「ほらな？」\n薫（なんかドヤってる…？）"
はじめて祭事場をみたとき,"薫「この場所、初めて見ました」\nナギ「祭事場だな。祭祀や儀式を行う場所だ」"
お米を備えたとき,"ナギ「お米はここで使えそうだな」\n薫「紙と箱？　今回こそトラップが…」\nナギ「無いと思うが…霊気は強いな」"
宝箱を触って文字がはじめて動いた時,"薫「数字…？」\nナギ「どういうことだ？」"
宝箱で正解した時,"薫「やった！」"
大幣を振る音のエフェクト,"薫「神主の気分…！なんか私の心も浄化されていくような」\nナギ「霊感豊かだな」"
猫に餌なしで触れたとき,"薫「可愛い…！」"
猫に餌をあげたとき,"薫「霊気があるなら、ナギくんも食べれるんじゃないですか？」\nナギ「ふむ…う、美味い…！　なわけあるか」\n薫「貴重なノリツッコミ」"
鈴を振ったとき,"ナギ「神楽舞だな」\n薫「カグラっていう響きがもう最高です」"
玉串を置いた時,"ナギ「玉串は回して使うぞ」\n薫「異世界ファンタジーの杖みたいですね」"
玉串を置いて、お札をみていないとき,"ナギ「何かを忘れている気がする…なんだ」\n薫「どこかにヒントがあるはずですよね」"
お札をはじめてみたとき（玉串をやる前）,"ナギ「神様への挨拶の仕方だな」"
お札をはじめてみたとき（玉串をやった後）,"薫「多分これですね。もどってしましょう」"
玉串を置いた後、お札を見た後,"ナギ「二礼、二拍手、一礼」\n薫「二礼、二拍手、一礼」"
鳥居にはじめて触ったとき,"薫「そういえば鳥居って、なんで『鳥居』なんでしょう？」\nナギ「鳥居は「鳥が止まっている所」が由来とも、「通り入る」からきたともいわれる」\n薫「いろいろあるんですね」"
鳥居から脱出する時,"薫「長かったぁ。次回、3時間くらいの謎解きがあったりするかも…？それはもう出られないですね…」\nナギ「いやさすがに…」"
大幣を振る舞え,薫「なんか、神主さんがよく持っているような。でもなんだろう？」\nナギ「大幣（おおぬさ）だな。お祓いのときに使うぞ」\nナギ「振ってみよう。左→右→左だ」
